DamFunctTbl_multiplier,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Flood damage (Milj. Euro),Number of casualties,Costs
0.041364611,-0.018154318,0.007849385,0.052010793,6,1.346967873,0.050558832,urbanizationDeurbanization,waasmodel,RfR Small Scale,20392,821.92488,70
-0.037475189,-0.045364566,-0.076911579,0.086806062,3,1.338110213,-0.083265259,NoChange,waasmodel,RfR Small Scale,10182,370.86917,70
-0.029411472,0.062173092,0.013413906,0.05920529,20,1.220110613,-0.075651558,sustainableGrowth,waasmodel,RfR Small Scale,19627,512.9417,70
0.088835132,0.027455087,-0.020385248,-0.054509177,5,1.427481477,0.05108134,Deurbanization,waasmodel,RfR Small Scale,8806,149.81989,70
0.071552299,0.079012679,0.036246336,-0.030825763,26,1.318129035,0.079513785,urbanizationDeurbanization,waasmodel,RfR Small Scale,43822,1165.27745,70
-0.079710515,-0.05632274,-0.050279713,0.03847341,12,1.328598887,0.085932718,urbanizationDeurbanization,waasmodel,RfR Small Scale,33917,1258.97373,70
0.058173218,-0.077033331,0.095942874,0.000615189,11,1.575319927,0.078450007,urbanizationLargeAndFast,waasmodel,RfR Small Scale,21155,674.0911,70
0.096841324,0.060243933,0.046648357,0.035673719,24,1.466461916,-0.09042007,sustainableGrowth,waasmodel,RfR Small Scale,44453,805.18338,70
0.03900606,-0.02162375,0.054687072,0.079960626,13,1.562884725,0.096540655,urbanizationDeurbanization,waasmodel,RfR Small Scale,35930,1475.0904,70
-0.035192799,0.010607975,0.062131509,0.050500986,9,1.544170788,0.090769967,urbanizationDeurbanization,waasmodel,RfR Small Scale,18069,335.7544,70
0.011988269,0.034352068,0.096024229,0.00120901,10,1.076957674,-0.050571756,sustainableGrowth,waasmodel,RfR Small Scale,10062,410.4142,70
-0.067599946,-0.047998647,0.004450058,-0.062364739,3,1.452455902,0.070478758,urbanizationLargeSteady,waasmodel,RfR Small Scale,19950,897.0898,70
-0.078249723,-0.091784721,0.028989616,0.093147894,24,1.136726518,-0.036304889,moreNature,waasmodel,RfR Small Scale,30196,599.22491,70
0.092877362,-0.07398504,0.078870912,0.099172567,1,1.174243172,-0.071282883,urbanizationLargeAndFast,waasmodel,RfR Small Scale,12223,520.283,70
0.079779969,0.061334022,0.014512313,0.035156393,16,1.278274152,-0.088360404,urbanizationLargeAndFast,waasmodel,RfR Small Scale,28467,901.417,70
-0.090923516,0.091851785,0.040236757,-0.091666311,8,1.420154989,0.053663608,NoChange,waasmodel,RfR Small Scale,14422,524.74036,70
0.098414599,-0.099558569,0.044177679,0.055089741,26,1.350463335,0.062579715,moreNature,waasmodel,RfR Small Scale,28313,634.89645,70
-0.031498875,-0.062866556,0.087787776,-0.019680222,23,1.471416874,0.0467683,Deurbanization,waasmodel,RfR Small Scale,31442,663.68694,70
-0.015491009,-0.073280906,0.012476214,-0.097304653,11,1.021118001,-0.076002032,sustainableGrowth,waasmodel,RfR Small Scale,14114,568.3854,70
-0.063016757,-0.033567986,-0.028117524,0.031333072,13,1.244736102,0.055171605,NoChange,waasmodel,RfR Small Scale,21207,828.33927,70
-0.04127485,0.035259561,0.028360865,-0.070394718,23,1.370634736,-0.020344537,Deurbanization,waasmodel,RfR Small Scale,30118,843.23355,70
-0.02491238,0.001836701,0.068704661,-0.047500934,27,1.138770466,-0.008916131,sustainableGrowth,waasmodel,RfR Small Scale,40736,920.1715,70
-0.065754292,-0.050448493,-0.054525066,-0.051032369,22,1.418062266,-0.096702585,urbanizationDeurbanization,waasmodel,RfR Small Scale,50109,1234.24546,70
-0.085997947,-0.0807787,0.079446529,0.021263852,13,1.070184935,0.059109809,urbanizationLargeSteady,waasmodel,RfR Small Scale,32229,1404.8828,70
0.069118833,-0.010524787,-0.01481816,0.095203767,2,1.116992295,0.026635286,urbanizationLargeSteady,waasmodel,RfR Small Scale,22344,401.99547,70
0.096544035,0.011516584,0.037464486,-0.005976771,14,1.5991753,-0.013902793,moreNature,waasmodel,RfR Small Scale,22820,690.34721,70
-0.03860502,0.046004395,-0.058317792,0.072228066,9,1.243223694,0.0998345,urbanizationDeurbanization,waasmodel,RfR Small Scale,18004,335.7544,70
0.055504699,0.099656167,-0.001843293,0.081125776,22,1.08735063,0.036230718,moreNature,waasmodel,RfR Small Scale,36842,720.97495,70
0.012831009,-0.095012018,-0.092598591,0.047761954,3,1.099624623,0.008414851,urbanizationLargeSteady,waasmodel,RfR Small Scale,21042,887.3575,70
0.054298114,0.070552083,-0.089178656,0.083430021,4,1.325127802,-0.030657403,urbanizationLargeAndFast,waasmodel,RfR Small Scale,25074,1343.6447,70
-0.064475623,-0.05968532,0.091570521,0.028275595,4,1.491979995,0.006107479,moreNature,waasmodel,RfR Small Scale,15634,644.18077,70
-0.059490171,-0.038385788,-0.01654662,-0.016065905,26,1.514610972,0.099126039,urbanizationLargeAndFast,waasmodel,RfR Small Scale,49540,1343.1481,70
-0.001277477,0.037469569,-0.02994462,0.0682056,1,1.395632828,-0.098260817,Deurbanization,waasmodel,RfR Small Scale,5416,203.17642,70
-0.060748825,0.028183803,0.037796178,-0.025219372,28,1.510140347,0.039963772,NoChange,waasmodel,RfR Small Scale,31610,589.01902,70
0.041792978,0.020272576,-0.041080995,-0.054296556,16,1.343809129,0.069780933,NoChange,waasmodel,RfR Small Scale,15344,471.27018,70
-0.038017837,-0.0009828,-0.070281054,0.065508631,23,1.206732786,-0.034690455,urbanizationLargeSteady,waasmodel,RfR Small Scale,57326,1791.287,70
-0.094120616,0.061703548,-0.041904298,0.025207329,20,1.312930982,-0.043704995,urbanizationLargeSteady,waasmodel,RfR Small Scale,21209,591.3642,70
0.080517199,-0.072214444,0.078081856,0.086521569,8,1.167384828,-0.091783994,NoChange,waasmodel,RfR Small Scale,14534,482.65164,70
0.061361523,-0.082784942,-0.003736275,0.085722702,6,1.159837419,0.049266403,sustainableGrowth,waasmodel,RfR Small Scale,21639,857.47505,70
-0.098145449,0.058534137,0.034788873,0.003595342,12,1.285607523,0.013359546,moreNature,waasmodel,RfR Small Scale,19085,543.47275,70
-0.081934318,0.093361759,-0.089330154,0.055457986,12,1.151613637,0.049625805,urbanizationLargeAndFast,waasmodel,RfR Small Scale,34395,1155.1445,70
-0.023635031,0.00079207,0.097225947,0.01169049,25,1.132076882,0.029677603,NoChange,waasmodel,RfR Small Scale,21870,421.12533,70
-0.086177794,-0.047077234,0.064852693,-0.095545224,3,1.265213759,0.097451307,NoChange,waasmodel,RfR Small Scale,13963,623.25522,70
-0.039871824,-0.022564239,0.026387007,0.00305344,12,1.064831063,-0.066305056,sustainableGrowth,waasmodel,RfR Small Scale,27112,812.07654,70
-0.031019295,-0.097976882,-0.047201557,-0.042588945,2,1.073999883,0.077176466,urbanizationLargeSteady,waasmodel,RfR Small Scale,22372,505.77487,70
0.084657473,-0.0054347,0.018618822,0.011269372,12,1.069559209,-0.067464201,moreNature,waasmodel,RfR Small Scale,20998,537.28738,70
-0.083352391,-0.049636088,0.087359282,0.01955542,22,1.524998314,0.031818533,moreNature,waasmodel,RfR Small Scale,33456,720.97495,70
-0.022045344,-0.039010337,0.012982831,0.026599023,11,1.183388684,0.026335043,urbanizationLargeAndFast,waasmodel,RfR Small Scale,18103,595.8334,70
-0.016703474,0.03929245,-0.046809155,-0.011656523,22,1.319577152,0.064182326,urbanizationLargeAndFast,waasmodel,RfR Small Scale,63038,1511.93678,70
0.02645378,-0.011838542,-0.052386573,-0.064933667,11,1.083009382,0.02495608,NoChange,waasmodel,RfR Small Scale,11801,368.89138,70
-0.024082327,0.053665548,-0.088581051,-0.002962874,3,1.352412664,-0.069933248,NoChange,waasmodel,RfR Small Scale,11374,451.42597,70
0.050890426,-0.079304971,-0.069747705,0.033577973,1,1.214654238,-0.002520317,sustainableGrowth,waasmodel,RfR Small Scale,10040,441.252,70
0.02227087,0.022903973,0.048118839,0.082029453,18,1.265127177,-0.036911562,sustainableGrowth,waasmodel,RfR Small Scale,30717,851.05922,70
0.070343344,0.067293347,0.084033117,-0.015536209,13,1.197997635,-0.012803616,NoChange,waasmodel,RfR Small Scale,22558,823.00018,70
-0.074085921,-0.078231869,0.050925843,0.055879495,25,1.17970889,-0.069426793,urbanizationLargeSteady,waasmodel,RfR Small Scale,33443,807.9362,70
-0.024562589,0.040474449,-0.031477904,0.077193192,3,1.334174655,-0.078911157,NoChange,waasmodel,RfR Small Scale,10321,370.86917,70
-0.002670776,0.081672448,-0.066062117,-0.052942423,13,1.294836591,0.072023595,urbanizationLargeAndFast,waasmodel,RfR Small Scale,37028,1480.46,70
-0.07347683,-0.069821872,-0.046775267,-0.048975495,17,1.33605853,-0.053158649,moreNature,waasmodel,RfR Small Scale,16031,416.7989,70
-0.086522627,0.065084883,-0.016125152,-0.092690332,14,1.291014873,0.093085434,NoChange,waasmodel,RfR Small Scale,20588,690.36673,70
0.021185136,-0.000327714,0.030773974,-0.002082447,28,1.568345047,-0.064390467,urbanizationLargeAndFast,waasmodel,RfR Small Scale,56230,1235.5585,70
0.068539242,0.010877971,-0.038536268,-0.088357114,18,1.484551316,0.083159928,moreNature,waasmodel,RfR Small Scale,23090,490.909,70
-0.01798854,0.07832573,-0.083115872,0.020179485,15,1.131671426,-0.006323032,Deurbanization,waasmodel,RfR Small Scale,10861,283.9105,70
0.077455901,-0.004894651,0.031646174,0.036975067,9,1.007649828,0.096251581,urbanizationDeurbanization,waasmodel,RfR Small Scale,19186,335.7544,70
0.033364369,-0.023949924,0.096421938,0.077382895,27,1.053869974,0.062371582,sustainableGrowth,waasmodel,RfR Small Scale,43630,931.4717,70
-0.045422742,0.041147878,-0.033981651,0.098277329,6,1.205705259,0.089275955,urbanizationLargeAndFast,waasmodel,RfR Small Scale,23934,1063.09457,70
0.028502393,-0.003462398,-0.039686862,0.024521317,21,1.583076335,0.076335293,moreNature,waasmodel,RfR Small Scale,26430,626.9366,70
0.064184384,-0.039449168,-0.091213627,0.084045952,29,1.577528808,-0.039922453,sustainableGrowth,waasmodel,RfR Small Scale,33013,741.8099,70
0.088763034,-0.082954197,0.00486166,0.002028824,1,1.17764764,-0.093026441,Deurbanization,waasmodel,RfR Small Scale,5565,203.17642,70
0.072485279,0.004849178,0.019223616,-0.021531321,8,1.224758312,-0.019720173,Deurbanization,waasmodel,RfR Small Scale,12768,405.33607,70
0.094946797,0.060934985,0.059973981,-0.090128618,16,1.10245359,0.079146877,urbanizationDeurbanization,waasmodel,RfR Small Scale,23337,791.29728,70
-0.047776701,0.012874835,-0.034630118,0.039444923,20,1.515619609,-0.046780086,moreNature,waasmodel,RfR Small Scale,12782,338.30489,70
0.065292193,-0.032399239,-0.040357134,0.005726523,21,1.0288617,-0.007418526,NoChange,waasmodel,RfR Small Scale,26140,615.35511,70
-0.062040397,-0.067514009,-0.051308054,0.097594084,17,1.162777077,-0.038444511,urbanizationLargeSteady,waasmodel,RfR Small Scale,26358,728.6838,70
0.057531343,0.077393514,-0.017995164,0.058947536,7,1.060075598,0.021237474,urbanizationDeurbanization,waasmodel,RfR Small Scale,17916,771.925,70
0.043156159,0.044000897,-0.025672655,0.078307731,6,1.588066634,-0.012431487,NoChange,waasmodel,RfR Small Scale,13866,463.11299,70
0.031999403,-0.034362623,0.018171809,-0.039785203,25,1.284575871,-0.077960543,urbanizationLargeSteady,waasmodel,RfR Small Scale,36477,807.9362,70
0.055024574,0.050221889,0.099357526,0.096004111,11,1.266937323,0.012303986,urbanizationLargeSteady,waasmodel,RfR Small Scale,16244,502.3433,70
0.096379952,0.089893429,-0.038106264,0.046618918,12,1.121489631,-0.075493669,urbanizationDeurbanization,waasmodel,RfR Small Scale,29729,829.12933,70
0.095796181,-0.029519592,-0.008609569,-0.013472971,16,1.519643215,0.041940521,sustainableGrowth,waasmodel,RfR Small Scale,24557,810.35285,70
-0.026435387,0.003028151,-0.082010303,-0.065530787,27,1.358519436,0.017937807,urbanizationLargeAndFast,waasmodel,RfR Small Scale,48679,1125.2816,70
-0.02267853,-0.049048855,0.074191404,0.00015819,26,1.572479754,-0.09407818,sustainableGrowth,waasmodel,RfR Small Scale,40611,881.1995,70
0.033050316,-0.065094378,-0.036922139,-0.078083804,1,1.468711938,0.082638877,urbanizationLargeAndFast,waasmodel,RfR Small Scale,12528,577.9264,70
0.02720684,-0.062203799,0.041986019,0.085075181,27,1.445091126,-0.048533,Deurbanization,waasmodel,RfR Small Scale,22918,556.11088,70
0.029101206,0.036798747,0.008868177,0.091098531,17,1.043343214,0.011941612,Deurbanization,waasmodel,RfR Small Scale,14569,280.39682,70
0.094070787,-0.08782105,-0.056347905,0.054372386,6,1.019674661,0.075047479,moreNature,waasmodel,RfR Small Scale,14441,534.32854,70
-0.011602828,-0.055145198,0.00522169,-0.048142962,22,1.126860665,-0.000893058,sustainableGrowth,waasmodel,RfR Small Scale,52199,1146.34613,70
-0.028393491,-0.072429531,-0.07954269,-0.097836591,8,1.297153436,-0.098443886,urbanizationLargeAndFast,waasmodel,RfR Small Scale,22599,1086.3222,70
0.073015362,0.074848881,-0.054151161,0.049019155,5,1.106054914,0.018362117,urbanizationLargeSteady,waasmodel,RfR Small Scale,17112,397.6523,70
-0.00164087,-0.086072543,0.051269937,0.024227908,17,1.558601604,-0.086120318,urbanizationLargeSteady,waasmodel,RfR Small Scale,26722,620.0628,70
-0.093499775,0.082866125,-0.061309704,0.087663482,23,1.11401891,0.060581068,urbanizationLargeAndFast,waasmodel,RfR Small Scale,59288,1575.4419,70
-0.008657403,0.042347325,-0.0853126,0.022695208,27,1.062430394,-0.049762975,Deurbanization,waasmodel,RfR Small Scale,22625,556.11088,70
0.024779768,0.096133031,0.021195264,-0.082484045,21,1.204045907,0.057035661,NoChange,waasmodel,RfR Small Scale,26343,626.83143,70
0.062820063,-0.071368965,0.032387457,-0.080911582,20,1.279048296,0.087547124,moreNature,waasmodel,RfR Small Scale,14729,315.59185,70
0.059145021,0.064450947,-0.080088379,-0.032491134,2,1.152987274,0.055639363,Deurbanization,waasmodel,RfR Small Scale,14237,229.33855,70
0.037906083,0.068403605,0.082884273,0.074555923,22,1.391460149,-0.060636463,urbanizationDeurbanization,waasmodel,RfR Small Scale,54173,1234.24546,70
-0.03532466,-0.087073038,0.055705235,-0.007673173,1,1.398250067,-0.027977273,sustainableGrowth,waasmodel,RfR Small Scale,9493,452.245,70
0.005534688,0.053074258,0.064254217,-0.008202698,15,1.239847188,-0.048137225,moreNature,waasmodel,RfR Small Scale,13196,377.8657,70
0.089273558,-0.042344831,0.006614582,0.071145007,18,1.554341307,-0.077316237,urbanizationLargeSteady,waasmodel,RfR Small Scale,34799,1021.5069,70
0.051540482,0.005836635,-0.024829222,-0.004706971,5,1.518856013,-0.032749792,urbanizationLargeSteady,waasmodel,RfR Small Scale,16987,546.3329,70
-0.068702923,0.07544212,-0.013494962,-0.078507923,20,1.503297123,0.016371756,urbanizationLargeSteady,waasmodel,RfR Small Scale,21805,409.0134,70
-0.002282631,0.019451901,-0.090887661,0.05317147,21,1.541447684,0.099549582,Deurbanization,waasmodel,RfR Small Scale,22283,528.60296,70
0.091058665,-0.022224344,0.06538391,-0.025830669,21,1.307875086,0.048098786,NoChange,waasmodel,RfR Small Scale,26632,626.83143,70
0.066624952,0.001342944,0.07118892,0.054469101,27,1.120951084,0.080977553,urbanizationLargeAndFast,waasmodel,RfR Small Scale,52642,1137.4518,70
-0.04731391,0.080350878,-0.006862054,0.025710237,12,1.189685246,-0.045814898,NoChange,waasmodel,RfR Small Scale,19715,537.28738,70
-0.032158127,0.002306744,-0.045614392,-0.045609517,11,1.401299757,0.020947571,urbanizationLargeSteady,waasmodel,RfR Small Scale,15410,502.3433,70
-0.075479638,0.050953289,0.042840877,0.008204166,15,1.148092124,0.036425618,NoChange,waasmodel,RfR Small Scale,13541,457.04391,70
0.06706197,-0.008634438,0.07039279,0.018838797,6,1.321407713,-0.010662571,urbanizationLargeSteady,waasmodel,RfR Small Scale,23425,880.19468,70
0.001613809,0.00035952,0.097902806,0.070165775,5,1.123005271,-0.093370526,urbanizationLargeAndFast,waasmodel,RfR Small Scale,15856,458.807,70
-0.088456768,0.087396835,0.02150519,0.062731022,7,1.059705114,-0.03370775,sustainableGrowth,waasmodel,RfR Small Scale,14051,831.0495,70
0.056153164,-0.065458289,0.00401575,-0.02964453,18,1.501338585,-0.073555966,urbanizationLargeAndFast,waasmodel,RfR Small Scale,35621,1042.4129,70
0.051923955,0.009120303,-0.022032611,-0.024722762,24,1.555142899,0.085158818,NoChange,waasmodel,RfR Small Scale,33212,451.11867,70
-0.051270754,-0.010217524,-0.065464537,0.009691199,1,1.170379313,0.054497175,urbanizationDeurbanization,waasmodel,RfR Small Scale,10203,483.1345,70
-0.020272591,-0.085454315,-0.078699663,0.06070756,10,1.191964173,0.047635237,NoChange,waasmodel,RfR Small Scale,8662,315.30517,70
0.00959422,-0.061991969,0.086471239,0.040816172,10,1.553182369,0.086604417,urbanizationLargeSteady,waasmodel,RfR Small Scale,17758,937.3297,70
0.038483546,-0.04056579,-0.040450236,0.069203713,8,1.415691216,-0.030991982,moreNature,waasmodel,RfR Small Scale,14893,519.74368,70
0.027056651,0.085323807,0.091853764,0.066780767,23,1.089608288,-0.002078142,urbanizationLargeSteady,waasmodel,RfR Small Scale,60317,1423.6871,70
-0.098801721,-0.027255809,-0.024284504,-0.051593543,27,1.091186138,-0.023434753,urbanizationLargeSteady,waasmodel,RfR Small Scale,43139,1354.4814,70
-0.063666999,-0.042607807,0.094155612,-0.079612299,9,1.03054178,0.053444429,urbanizationLargeAndFast,waasmodel,RfR Small Scale,18703,385.3491,70
0.019238172,0.055761864,0.069580049,-0.081926294,29,1.439223959,0.077346477,sustainableGrowth,waasmodel,RfR Small Scale,37084,783.4453,70
0.068201753,0.024752587,-0.02750615,-0.011067128,22,1.32611245,-0.025240815,urbanizationDeurbanization,waasmodel,RfR Small Scale,54574,1234.24546,70
-0.003459999,-0.081695445,-0.079041958,-0.033220412,1,1.447055297,0.006586125,urbanizationLargeSteady,waasmodel,RfR Small Scale,11114,486.3414,70
-0.019898483,0.016894172,-0.034900988,-0.057765095,28,1.532324855,0.065472964,urbanizationLargeAndFast,waasmodel,RfR Small Scale,61576,1393.79342,70
-0.039331506,0.016181475,-0.04354418,0.073671727,1,1.461418297,0.032061408,sustainableGrowth,waasmodel,RfR Small Scale,9954,519.9358,70
-0.089346461,-0.096613849,-0.027764234,-0.001910814,20,1.247676315,-0.017191485,moreNature,waasmodel,RfR Small Scale,12224,338.30489,70
-0.029765521,0.092549057,-0.06426662,0.042265002,5,1.485664389,0.025640528,Deurbanization,waasmodel,RfR Small Scale,8319,149.81699,70
0.067572369,-0.089998612,0.084651849,-0.067725481,24,1.367295213,0.03047645,sustainableGrowth,waasmodel,RfR Small Scale,46144,686.37921,70
0.075415914,-0.082093338,-0.022469847,-0.070679508,29,1.564207461,0.083927955,moreNature,waasmodel,RfR Small Scale,27583,579.79706,70
0.071621017,-0.081477584,0.064641327,0.084756758,29,1.386424562,0.081724279,Deurbanization,waasmodel,RfR Small Scale,22939,404.11333,70
-0.03889618,-0.093859552,-0.099305681,-0.072551765,8,1.508303391,0.034118623,NoChange,waasmodel,RfR Small Scale,15248,524.74036,70
0.062555646,-0.050925022,0.00939475,0.081486027,7,1.36403537,-0.084114484,Deurbanization,waasmodel,RfR Small Scale,8749,409.07182,70
0.029744858,0.065328974,-0.080532429,0.008835829,4,1.140255531,0.023912909,sustainableGrowth,waasmodel,RfR Small Scale,22877,1095.2964,70
0.025241306,-0.035123675,0.020316402,0.010026041,29,1.104097932,0.059725399,moreNature,waasmodel,RfR Small Scale,26115,496.3724,70
-0.015070983,0.022681828,-0.09539107,-0.074284785,18,1.42633921,0.025228219,urbanizationLargeAndFast,waasmodel,RfR Small Scale,35497,821.7688,70
